                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4036,                0.98027,                 1.4249,                 1.4305,                 1.1196,                 1.3895,                0.80594,                0.67908,                0.79511,                0.39927,                 1.6842,                0.85263,                 1.6018,                  1.707,                0.92014,                 1.5862,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.4005,                 0.9739,                 1.3904,                 1.4351,                 1.1023,                 1.3613,                0.74508,                0.72913,                0.78816,                0.38918,                 1.6738,                0.86247,                 1.5862,                 1.7195,                0.90525,                 1.5706,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.3932,                 0.9766,                  1.398,                 1.4203,                  1.099,                 1.3532,                0.80503,                0.69834,                0.80103,                0.40552,                 1.6575,                0.85898,                  1.583,                 1.6826,                0.93473,                 1.5491,               0.000467,               0.000467,               0.000467
                     37,                 1.3621,                0.91982,                 1.3843,                 1.4026,                 1.0541,                 1.3603,                0.69874,                 0.7592,                 0.7962,                 0.4056,                 1.6608,                0.86318,                 1.5947,                 1.6733,                 0.9018,                 1.5509,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3605,                0.92551,                 1.3791,                 1.4001,                 1.0431,                 1.3523,                 0.6989,                0.75631,                0.78206,                0.41099,                 1.6649,                0.85009,                 1.5906,                 1.6939,                0.86635,                 1.5588,             0.00041041,             0.00041041,             0.00041041
                     39,                  1.346,                0.92011,                 1.3659,                 1.3943,                 1.0493,                 1.3393,                0.75223,                 0.6992,                0.76605,                0.40071,                 1.6809,                0.85789,                 1.5984,                 1.7154,                0.89643,                 1.5756,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.3112,                0.90739,                 1.3525,                 1.3521,                 1.0297,                 1.3244,                0.79718,                0.71393,                0.80093,                0.39627,                  1.678,                0.83244,                 1.6052,                    1.7,                0.88982,                 1.5717,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.3302,                0.79391,                 1.4123,                 1.3658,                0.81936,                   1.39,                0.75231,                  0.689,                0.77145,                0.39166,                 1.6514,                0.85364,                 1.5913,                  1.664,                 0.8864,                 1.5618,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.3233,                0.76333,                  1.407,                 1.3566,                0.80491,                 1.3842,                0.82028,                 0.6988,                 0.8051,                 0.4114,                 1.6623,                0.83163,                 1.5979,                 1.6768,                 0.8645,                 1.5652,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.2975,                0.73413,                 1.3895,                 1.3331,                0.74217,                 1.3744,                0.74666,                0.75924,                0.80566,                0.40804,                  1.663,                0.81688,                  1.594,                 1.6762,                0.86809,                 1.5551,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2706,                0.70761,                 1.3579,                 1.3092,                0.71301,                 1.3356,                0.74552,                0.74722,                0.79125,                0.40204,                 1.6862,                0.81037,                 1.6093,                 1.7026,                0.86167,                 1.5688,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2388,                0.70343,                  1.345,                 1.2718,                0.74725,                 1.3241,                0.74763,                0.73474,                0.78702,                0.39436,                 1.6567,                0.80607,                 1.5854,                 1.6624,                 0.8752,                  1.546,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2387,                0.69019,                 1.3449,                 1.2742,                0.70431,                 1.3236,                0.80441,                0.73538,                0.81245,                0.41089,                 1.6449,                0.79547,                 1.5844,                 1.6716,                0.83609,                 1.5553,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.2168,                0.66459,                  1.324,                 1.2639,                0.65977,                   1.31,                0.73682,                0.76377,                0.82411,                0.42114,                 1.6422,                0.78769,                  1.576,                 1.6595,                0.81847,                 1.5385,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.2092,                0.67711,                 1.3341,                 1.2386,                0.68347,                 1.3145,                0.74913,                0.79078,                0.81865,                0.41749,                 1.6484,                0.78383,                 1.5779,                 1.6667,                0.81431,                 1.5445,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.1945,                0.66295,                 1.3181,                  1.233,                0.67151,                 1.3029,                0.75397,                0.78815,                0.81268,                  0.415,                 1.6473,                0.79393,                 1.5743,                 1.6691,                0.82998,                  1.551,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.1851,                0.65679,                 1.3196,                 1.2263,                 0.6511,                 1.3061,                0.76765,                0.77132,                0.81731,                 0.4162,                 1.6534,                0.79346,                 1.5783,                 1.6758,                0.82879,                 1.5488,             7.0878e-05,             7.0878e-05,             7.0878e-05
